name,age,overall,potential,position,pace,shooting,passing,dribbling,defending,physical,total_stats,value
F. Chiesa,23,84,90,3,91,81,75,86,48,73,2064,66.5
S. Agüero,33,87,87,4,71,89,75,87,33,68,2066,51.0
Cristiano Ronaldo,36,91,91,4,86,94,80,88,34,75,2202,45.0
R. Gravenberch,19,78,90,4,77,74,77,82,67,71,2072,33.0
S. Dest,20,76,85,3,87,59,72,81,67,66,1974,15.5
B. Kamara,21,81,86,3,74,51,72,74,80,79,1983,36.5
K. Kozłowski,17,68,85,4,74,58,62,75,59,67,1832,3.0
M. Greenwood,19,79,90,4,84,80,73,79,40,67,1970,38.0
F. Wirtz,18,80,90,4,72,72,79,84,51,60,1958,44.5
A. Maitland-Niles,23,75,80,2,81,63,70,77,71,72,1980,8.0
A. Ahmedhodžić,22,73,83,2,77,32,60,63,71,77,1709,6.5
F. Carvalho,18,69,86,4,76,61,63,72,34,47,1648,3.5
Adama Traoré,25,78,81,3,96,65,67,86,38,81,1910,18.5
H. Elliott,18,73,87,4,79,62,71,78,30,41,1687,7.0
T. Livramento,18,69,85,2,82,47,63,68,63,62,1783,3.4
T. Lamptey,20,74,84,2,87,44,66,75,67,52,1812,9.0
Ansu Fati,18,78,90,4,88,74,69,82,29,53,1835,32.5
Antony,21,81,89,4,93,73,72,86,39,68,1987,58.0
F. Farías,18,74,86,4,86,72,70,81,39,70,1932,10.0
Vinícius Jr.,20,83,91,4,95,75,73,89,29,67,1960,79.5
J. Timber,20,78,88,2,83,47,66,76,78,79,1925,29.0
S. Tonali,21,78,87,3,79,67,79,77,74,78,2118,30.0
A. Saint-Maximin,24,80,85,4,91,70,72,87,25,63,1879,32.0
K. Mbappé,22,91,95,4,97,88,80,92,36,77,2175,194.0
E. Camavinga,18,78,89,3,72,65,76,80,75,77,2089,29.5
R. Pepi,18,69,83,4,65,68,52,66,37,63,1656,3.3
L. Netz,18,70,85,2,77,43,61,67,66,61,1722,3.5
L. Messi,34,93,93,4,85,92,91,95,34,65,2219,78.0
T. Tomiyasu,22,77,85,2,73,33,65,70,78,77,1800,22.5
D. Scarlett,17,64,86,4,72,63,46,62,21,56,1519,1.8
F. de Jong,24,87,92,3,81,69,85,88,77,78,2229,119.5
M. Ødegaard,22,82,88,4,77,74,84,84,58,62,2094,49.0
M. Cash,23,78,83,2,81,63,68,73,72,66,1971,20.0
Gabriel Martinelli,20,76,87,3,87,69,67,78,44,67,1883,16.5
Pedri,18,81,91,4,78,65,79,84,66,63,2023,54.0
Gonçalo Inácio,19,78,87,2,79,36,61,60,80,75,1758,28.5
E. Hazard,30,85,85,4,84,80,82,88,35,63,2055,52.0
D. Rice,22,82,87,3,68,60,71,74,81,80,1996,43.0
A. Bastoni,22,81,89,2,65,33,66,69,83,80,1813,54.0
A. Hložek,18,77,87,4,78,75,72,77,31,79,1922,22.5
T. Nianzou,19,71,85,2,69,37,55,62,71,74,1653,4.2
Z. Ibrahimović,39,83,83,4,63,86,77,79,34,76,2012,12.5
Renato Sanches,23,80,86,4,84,74,77,84,72,84,2218,33.0
F. Kessié,24,84,86,3,78,74,74,80,82,87,2195,49.5
C. Zesiger,23,70,79,2,62,32,47,46,70,77,1483,3.3
Pedro Gonçalves,23,81,88,4,76,80,80,84,56,64,2089,51.5
J. Gvardiol,19,77,87,2,83,54,69,72,74,83,1990,21.0
E. Buendía,24,79,84,4,73,73,80,81,64,67,2064,26.5
K. Piątek,26,76,79,4,75,77,53,72,36,71,1791,10.0
D. Zakaria,24,81,86,3,83,64,73,77,80,85,2047,35.5
P. Foden,21,84,92,4,84,78,80,88,56,59,2073,94.5
Pau Torres,24,82,89,2,72,38,67,70,84,80,1883,56.5
X. Simons,18,66,83,4,68,57,66,70,57,60,1793,2.2
B. Saka,19,80,88,3,84,68,76,82,65,64,2049,45.5
Yeremy Pino,18,75,87,4,73,67,72,75,31,48,1726,13.0
V. Osimhen,22,81,89,4,89,81,65,76,40,82,1988,58.5
J. Doku,19,77,87,4,92,66,67,83,25,66,1810,23.0
Morato,20,73,86,2,67,35,51,60,72,80,1605,7.0
N. Barella,24,85,90,4,78,73,80,86,75,78,2248,81.0
T. Cantwell,23,75,82,4,72,68,72,78,39,51,1809,11.5
Diogo Costa,21,76,86,1,74,72,68,79,32,76,1099,14.5
J. Koundé,22,83,89,2,81,45,64,72,84,78,1914,53.0
M. Lacroix,21,79,86,2,88,33,56,65,80,77,1743,33.0
A. Tuanzebe,23,74,81,2,81,36,63,69,73,73,1805,8.0
N. Mazraoui,23,81,86,2,84,63,75,82,75,73,2052,36.5
J. David,21,79,86,4,85,78,71,78,25,70,1872,36.0
R. Araujo,22,79,87,2,79,46,58,57,80,78,1794,37.0
O. Popescu,18,70,85,4,82,64,65,75,34,54,1722,3.7
D. Alaba,29,85,85,2,79,71,83,80,84,77,2266,45.0
O. Watkins,25,78,83,4,85,75,68,75,46,71,1961,21.0
N. Lang,22,78,85,4,84,74,72,83,50,67,2011,28.5
L. Stergiou,19,67,86,2,65,32,46,49,68,72,1531,2.5
M. Dárdai,19,71,85,2,68,32,64,62,72,70,1704,4.2
N. Mukiele,23,81,85,2,80,49,69,73,82,80,1995,34.5
Raphinha,24,82,85,3,91,77,75,85,49,72,2101,41.5
Lucas Paquetá,23,82,87,4,75,77,80,85,70,78,2205,46.0
Rodrygo,20,79,88,4,87,76,71,83,32,56,1928,38.5
A. Hickey,19,71,84,2,73,50,66,69,69,57,1800,4.3
N. Rovella,19,72,87,3,70,49,70,74,66,65,1877,5.5
G. Scamacca,22,76,86,4,71,77,54,71,33,71,1769,17.0
A. Onana,25,83,86,1,82,80,86,85,61,82,1474,37.0
M. Kean,21,79,87,4,85,77,56,78,40,75,1875,39.5
E. Smith Rowe,20,78,87,4,80,68,75,79,32,61,1805,31.0
T. Abraham,23,79,86,4,77,78,62,74,32,73,1804,35.5
F. Tomori,23,81,87,2,84,37,57,66,83,80,1817,37.0
A. Gouiri,21,79,85,4,79,81,76,79,45,70,2031,28.5
Pedro Porro,21,80,87,2,80,68,73,79,75,76,2082,40.5
Y. Demir,18,72,84,4,84,66,65,78,19,50,1698,5.5
C. Tzolis,19,74,87,3,86,71,66,76,35,65,1890,10.0
Kayky,18,66,87,3,82,58,57,72,28,45,1567,2.7
D. Upamecano,22,82,90,2,81,43,62,68,81,81,1846,64.0
A. Ramsdale,23,78,84,1,80,75,80,80,48,75,1340,18.0
N. Zaniolo,21,78,86,4,83,74,71,80,61,82,2057,31.5
João Félix,21,83,91,4,83,79,78,87,40,67,2082,82.0
Gonçalo Ramos,20,72,86,4,77,70,63,70,33,76,1822,5.5
M. Maignan,25,84,89,1,83,81,85,86,50,84,1456,49.5
B. Brereton Díaz,22,73,81,4,84,71,62,74,41,74,1837,7.0
R. James,21,82,87,2,80,68,80,80,78,80,2178,43.5
R. Aït Nouri,20,74,85,2,74,42,65,76,71,54,1787,9.0
R. Cherki,17,73,88,4,72,67,68,81,21,60,1715,7.0
J. Musiala,18,77,88,4,76,72,70,85,31,48,1755,22.0
Brahim,21,78,86,4,78,69,76,82,30,50,1818,31.5
C. Romero,23,82,87,2,74,46,52,61,83,84,1837,41.5
I. Sarr,23,77,85,3,94,76,67,80,22,67,1832,23.5
Álex Centelles,21,75,85,2,77,51,68,71,69,74,1882,12.0
D. Núñez,22,76,85,4,84,75,68,73,41,83,1956,17.0
S. Ricci,19,70,85,3,72,49,69,70,68,68,1870,3.8
R. Lukaku,28,88,88,4,83,87,74,78,39,83,2061,93.5
M. Mount,22,83,89,4,74,79,84,83,55,65,2105,58.5
A. Davies,20,83,90,2,95,67,73,84,76,76,2145,68.0
M. Simakan,21,76,85,2,68,36,62,64,78,77,1757,15.5
G. Reyna,18,77,87,4,77,71,74,82,36,71,1919,22.0
Bryan Gil,20,77,87,4,78,67,72,81,26,35,1715,23.0
Francés,18,71,83,2,70,34,60,59,72,70,1699,4.1
Isco,29,82,82,4,66,75,80,88,59,59,2060,30.0
L. Bailey,23,82,86,3,93,78,74,84,33,64,2011,43.5
Arthur,24,82,84,3,71,66,82,88,72,70,2147,39.5
A. Hakimi,22,85,89,2,94,73,78,82,76,79,2204,73.0
R. Sessegnon,21,74,83,3,82,65,70,76,68,66,1957,9.0
M. Boadu,20,76,85,4,89,75,61,76,28,66,1836,16.5
Nuno Mendes,19,78,88,2,87,57,72,76,74,72,2042,29.0
J. Frimpong,20,75,84,3,93,52,68,78,67,70,1938,12.0
L. Romero,16,66,86,3,76,54,64,72,32,49,1649,2.3
L. Modrić,35,87,87,3,73,76,89,88,72,66,2253,32.0
Gonçalo Guedes,24,81,86,4,86,80,76,82,38,71,2029,39.5
Marcos Llorente,26,86,89,4,88,80,81,82,78,82,2252,88.0
D. Yearwood,21,64,74,2,82,53,60,67,64,80,1859,1.3
D. Kulusevski,21,80,87,4,83,73,76,82,56,76,2066,43.0
Fábio Silva,18,70,83,4,73,70,46,72,22,63,1614,3.7
A. Velasco,18,75,85,4,83,68,69,81,53,61,1942,12.0
G. Raspadori,21,75,85,4,77,75,63,79,26,55,1780,12.5
B. Šeško,18,68,83,4,71,67,60,67,42,73,1745,2.8
L. Insigne,30,86,86,4,87,78,85,90,36,45,2029,65.5
A. Christensen,25,82,86,2,68,32,66,70,84,74,1775,38.0
C. Tolisso,26,80,80,3,66,77,77,78,76,77,2161,23.0
Diego Carlos,28,82,84,2,77,47,63,68,81,83,1930,30.5
M. Locatelli,23,82,87,3,63,72,79,78,79,79,2119,42.0
E. Konsa,23,78,84,2,78,39,62,71,79,75,1838,20.0
M. Rashford,23,85,89,4,90,84,79,84,43,77,2144,77.5
T. Hernández,23,84,90,2,93,71,76,81,77,82,2185,62.5
Carlos Soler,24,81,88,4,78,77,82,79,71,72,2169,51.5
K. Havertz,22,84,92,4,82,78,79,84,45,66,2038,94.5
M. Damsgaard,20,77,87,4,85,69,72,82,48,63,1945,23.0
N. Schlotterbeck,21,76,84,2,69,29,57,59,77,76,1655,15.5
B. Brobbey,19,73,85,4,83,71,54,68,30,81,1760,7.5
A. Sima,20,73,86,4,88,74,63,69,41,73,1888,7.5
Eric García,20,77,85,2,65,44,66,67,78,71,1800,21.5
K. Sulemana,19,75,85,3,93,69,66,80,28,63,1824,12.0
João Cancelo,27,86,87,2,85,72,85,85,80,72,2239,71.5
D. Zagadou,22,78,84,2,59,34,61,52,80,80,1632,20.5
C. Jones,20,75,86,3,69,66,71,78,63,71,1936,12.5
I. Meslier,21,77,85,1,79,76,73,81,36,73,1215,20.5
P. Pogba,28,87,87,3,71,81,86,86,65,83,2221,79.5
S. Umtiti,27,80,80,2,65,62,68,67,80,78,2020,19.5
R. Bazoer,24,77,81,3,72,68,77,78,74,78,2106,13.5
L. Martínez,23,85,89,4,84,81,72,85,48,84,2145,78.0
Gabriel,23,80,86,2,68,36,60,58,81,79,1717,30.0
J. Sancho,21,86,90,4,81,76,82,90,36,64,1999,99.0
Riqui Puig,21,75,83,4,67,61,74,81,58,54,1884,12.5
J. Lindstrøm,21,72,84,4,81,66,66,73,46,59,1811,6.0
N. Collins,17,60,82,2,85,25,39,48,59,67,1392,0.725
I. Moriba,18,73,85,4,72,70,64,73,64,65,1861,7.0
K. Benzema,33,90,90,4,78,87,82,87,39,77,2127,76.5
P. Dybala,27,87,87,4,83,86,86,90,40,60,2126,86.5
A. Martial,25,81,84,4,85,80,73,85,35,68,2000,34.5
D. van de Beek,24,80,85,4,68,78,76,79,72,76,2141,31.5
B. White,23,77,86,2,69,27,63,69,78,76,1686,22.0
M. de Ligt,21,85,90,2,74,59,61,69,84,87,1982,75.0
Douglas Luiz,23,77,84,3,67,67,74,76,74,69,1997,20.0
E. Nketiah,22,73,80,4,83,71,55,74,24,60,1707,6.0
F. Valverde,22,83,89,3,86,74,78,79,77,80,2175,58.0
R. Baku,23,80,85,3,84,73,73,81,70,78,2113,32.0
B. Gilmour,20,72,86,3,67,54,70,73,68,55,1846,5.5
M. Olise,19,73,84,4,78,64,74,77,50,54,1887,6.5
I. Stoica,18,63,82,3,87,62,55,69,27,60,1651,1.2
Nico Williams,18,68,81,4,87,64,60,72,21,54,1656,2.8
L. Delap,18,64,85,4,76,64,47,61,24,67,1561,1.9
H. Siquet,18,70,84,3,75,56,72,67,63,67,1898,3.5
Y. Tielemans,24,85,87,3,63,80,86,81,72,72,2200,69.5
L. Sané,25,85,86,3,90,83,80,86,38,68,2100,64.5
S. Milinković-Savić,26,85,86,3,68,79,80,81,79,86,2224,63.0
Merino,25,83,87,3,74,78,81,82,82,81,2244,50.0
W. Ndidi,24,85,88,2,67,62,68,75,87,84,2109,66.5
Oyarzabal,24,85,89,4,82,82,81,84,41,63,2062,77.5
T. Chalobah,21,76,82,2,65,47,65,68,76,77,1796,11.0
D. Malen,22,79,85,3,90,77,72,83,30,74,1982,28.5
C. Gallagher,21,77,84,3,71,74,73,75,64,70,1977,21.5
Pedro Neto,21,78,85,4,87,74,69,81,31,59,1842,28.5
M. Cuisance,21,73,80,4,69,67,78,77,53,62,1957,6.0
M. Guéhi,20,74,85,2,72,31,50,64,75,72,1635,8.5
G. Bazunu,19,67,84,1,68,66,68,69,27,65,996,2.3
A. Lunin,22,74,85,1,71,70,73,76,37,74,1114,8.0
M. Caqueret,21,78,85,3,73,58,72,81,72,69,1970,27.0
Nico González,19,70,83,4,71,63,68,70,66,71,1886,3.8
C. Patino,17,62,85,3,64,43,60,63,61,59,1658,1.2
A. Schjelderup,17,65,83,4,72,59,60,68,35,47,1652,1.8
A. Griezmann,30,85,85,4,80,84,84,87,52,72,2259,53.0
M. Salah,29,90,90,4,90,88,81,90,45,75,2217,117.5
Bernardo Silva,26,86,87,3,80,76,83,91,58,67,2148,80.0
C. Pulisic,22,82,88,3,89,70,73,86,37,59,1955,49.0
T. Alexander-Arnold,22,87,90,2,78,68,88,80,80,72,2227,102.5
Junior Messias,30,75,75,4,83,70,72,78,42,55,1870,5.5
O. Skipp,20,76,83,3,64,46,68,71,73,70,1817,14.0
S. Esposito,18,68,85,4,71,67,67,73,38,59,1795,3.1
Nuno Tavares,21,72,82,2,85,52,64,73,64,74,1886,5.0
M. Vušković,19,72,85,2,65,29,40,46,72,73,1458,5.0
T. Corbeanu,19,64,81,3,77,56,61,68,37,62,1656,1.5
R. Lewandowski,32,92,92,4,78,92,79,86,44,82,2211,119.5
M. Antonio,31,80,80,4,83,77,73,78,55,84,2123,18.0
Sérgio Oliveira,29,80,80,3,58,79,82,77,72,70,2137,20.5
L. Jović,23,79,84,4,75,80,68,78,29,74,1912,27.0
D. Doekhi,23,73,80,2,55,42,57,64,73,81,1699,5.5
G. Kobel,23,81,87,1,81,80,74,85,28,78,1178,33.0
A. Danjuma,24,77,82,4,84,75,70,79,42,67,1900,16.0
J. Tanganga,22,74,84,2,77,33,62,70,75,80,1814,9.0
Rúben Dias,24,88,91,2,65,38,66,68,88,89,1899,111.5
C. Hudson-Odoi,20,78,86,4,82,68,75,81,44,59,1916,31.0
T. Almada,20,75,86,4,85,72,71,82,52,63,1999,12.5
O. Kossounou,20,74,84,2,75,32,59,66,74,78,1674,8.5
N. Patterson,19,66,80,2,81,44,57,63,62,69,1705,1.9
M. Neuer,35,90,90,1,88,88,91,88,56,89,1534,13.5
Neymar Jr,29,91,91,4,91,83,86,94,37,63,2183,129.0
H. Son,28,89,89,4,88,87,82,86,42,69,2140,104.0
J. Grealish,25,84,85,4,80,76,83,88,46,69,2027,50.5
S. Fofana,26,80,83,3,76,73,73,79,73,83,2090,27.5
Diogo Jota,24,83,88,4,85,81,74,85,57,77,2160,55.5
K. Tierney,24,80,86,2,84,60,75,77,75,79,2086,31.0
Richarlison,24,82,87,4,83,79,73,83,53,80,2127,46.5
J. Ikoné,23,78,82,4,89,70,73,82,35,60,1900,20.0
É. Mendy,29,85,87,1,84,83,80,87,35,85,1205,44.5
O. Wijndal,21,79,84,2,84,53,75,78,74,74,2019,25.0
M. Kudus,20,77,85,4,88,71,70,82,60,75,2024,23.0
P. De la Vega,20,74,85,3,86,70,69,76,50,73,1985,9.5
W. Fofana,20,78,86,2,74,37,55,64,80,78,1770,29.0
M. Cho,17,67,83,4,79,67,55,71,25,50,1541,2.6
L. Suárez,34,88,88,4,72,90,81,83,47,83,2298,44.5
M. Özil,32,79,79,4,62,68,85,79,24,48,1797,14.0
E. Džeko,35,84,84,4,66,84,72,78,45,76,1968,18.0
T. Kroos,31,88,88,3,53,81,91,81,71,68,2148,75.0
J. Rodríguez,29,81,81,4,53,86,86,86,50,60,2091,25.5
M. Depay,27,86,87,4,83,84,82,86,30,79,2091,79.5
F. Kostić,28,84,84,3,88,78,82,83,68,80,2229,42.5
B. Godfrey,23,77,85,2,82,44,61,66,76,82,1847,22.0
P. Schick,25,80,83,4,70,80,70,81,35,69,1924,28.5
M. Diaby,21,81,88,3,94,69,73,85,41,53,1892,52.5
Arthur Cabral,23,77,85,4,72,77,63,74,31,78,1843,23.5
Vitinha,21,70,84,4,72,57,69,77,51,50,1804,3.9
A. Broja,19,70,84,4,75,69,53,70,29,72,1668,3.8
C. Chukwuemeka,17,64,84,4,62,53,62,68,44,57,1624,1.6
K. De Bruyne,30,91,91,3,76,86,93,87,64,77,2299,125.5
Casemiro,29,89,89,3,65,73,76,73,86,90,2219,88.0
S. Haller,27,82,83,4,67,80,62,74,51,81,1943,35.5
J. Kimmich,26,89,90,3,70,73,87,84,83,79,2287,108.0
K. Coman,25,85,86,3,93,76,78,87,30,60,1972,64.5
Rúben Neves,24,82,87,3,58,74,85,77,75,73,2164,46.0
Gabriel Jesus,24,83,87,4,84,81,74,87,40,74,2077,52.5
Y. En-Nesyri,24,82,86,4,78,83,58,78,35,76,1891,44.0
D. Szoboszlai,20,77,87,4,79,78,79,79,34,64,1961,23.0
J. Willock,21,75,83,4,76,72,68,76,63,69,1962,12.5
Paulinho,20,74,83,4,77,68,70,80,36,61,1831,9.5
M. Salisu,22,77,85,2,67,36,51,55,78,79,1634,22.0
Fran García,21,73,84,2,90,49,64,73,66,63,1845,6.5
A. Diallo,18,68,85,4,81,63,57,74,25,43,1627,3.1
D. Dike,21,71,82,4,69,71,46,62,21,80,1556,4.2
G. Bale,31,81,81,4,80,84,81,79,55,70,2162,21.5
S. Gnabry,25,86,87,3,83,84,80,86,43,70,2085,81.0
M. Ginter,27,84,85,2,62,58,72,66,86,79,1961,42.5
T. Partey,28,84,84,3,69,71,82,81,80,84,2162,37.0
Samir,26,73,75,2,60,33,55,57,75,73,1609,3.3
D. Calvert-Lewin,24,81,85,4,83,77,64,77,39,81,1961,37.5
P. Berg,23,75,82,3,74,62,73,73,68,77,1994,11.0
O. Boscagli,23,76,81,3,74,49,73,74,77,74,1932,10.0
R. Oxford,22,71,78,2,67,33,54,57,71,72,1649,3.5
O. Zinchenko,24,79,82,3,73,65,80,80,77,69,2142,22.0
C. Nkunku,23,83,87,4,83,78,82,86,69,65,2168,52.0
M. Guendouzi,22,79,85,3,76,67,78,77,74,80,2111,28.0
T. Kubo,20,75,88,4,81,66,68,82,39,56,1821,13.5
C. Gakpo,22,79,85,4,86,78,74,81,41,72,1994,28.0
M. Pedersen,21,72,84,2,90,48,68,70,63,69,1848,5.5
W. Saliba,20,77,85,2,74,34,66,69,78,80,1800,21.5
Ibañez,22,78,84,2,82,32,45,57,80,77,1676,20.5
Marcos Antonio,21,73,85,4,84,65,69,77,59,49,1839,7.5
Francisco Conceição,18,70,86,4,78,61,63,76,31,44,1643,4.0
M. Baturina,18,66,84,4,73,54,67,75,53,58,1780,2.2
Jutglà,22,63,74,4,73,58,55,69,26,49,1536,1.1
Thiago,30,86,86,3,63,72,86,90,70,66,2199,65.0
V. van Dijk,29,89,89,2,78,60,71,72,91,85,2108,86.0
Kepa,26,79,83,1,78,77,85,81,34,76,1299,19.0
L. Goretzka,26,88,89,3,81,82,82,84,81,86,2321,107.0
D. Alli,25,80,82,4,68,78,78,82,65,76,2123,26.5
L. Hernández,25,83,86,2,77,54,68,71,84,79,2007,43.0
A. Tahiri,26,68,69,4,76,58,68,72,36,49,1700,1.4
R. Kent,24,76,81,3,91,72,70,79,30,62,1865,11.5
Palhinha,25,82,87,2,60,65,70,72,85,88,2033,41.0
M. Škriniar,26,86,87,2,80,41,53,69,87,84,1829,70.0
D. Dumfries,25,81,83,2,80,61,66,72,78,89,2016,29.5
Y. Bissouma,24,79,84,3,70,68,75,78,78,75,2107,24.5
J. Kluivert,22,74,81,4,89,71,67,79,35,57,1850,8.5
M. Aarons,21,75,83,2,80,42,64,75,71,71,1799,12.0
N. De la Cruz,24,79,84,3,84,75,78,81,70,67,2193,26.5
B. Omeragic,19,67,83,2,75,35,55,55,66,70,1658,2.5
Reguilón,24,81,84,2,86,58,75,78,78,70,2043,32.5
Renan Lodi,23,81,86,2,84,67,76,81,75,75,2154,36.5
João Pedro,19,71,84,4,77,68,59,74,22,57,1646,4.5
J. Veerman,22,77,83,3,65,68,81,78,62,73,1987,17.0
J. Aude,18,66,83,4,71,46,60,74,59,64,1702,2.1
M. van de Ven,20,68,84,2,72,43,56,60,67,73,1668,3.0
Y. Valery,22,71,79,2,72,52,60,69,70,73,1822,4.0
A. Sambi Lokonga,21,74,83,3,66,58,74,78,69,69,1960,9.5
M. Vandevoordt,19,70,84,1,73,70,65,73,40,63,1062,3.3
E. Laird,19,70,82,2,83,54,61,69,64,72,1803,3.6
E. Le Fée,21,72,82,3,63,53,75,76,56,47,1823,5.0
Barrenetxea,19,74,83,4,80,69,62,79,24,53,1716,9.0
Emerson,22,79,84,2,81,62,71,74,74,77,2034,25.0
A. Bella Kotchap,19,70,83,2,76,25,50,47,71,74,1521,3.5
Tete,21,76,86,4,83,71,72,79,39,59,1811,17.0
Zubimendi,22,75,85,3,62,61,72,72,76,70,1944,12.5
R. Jones,18,60,80,4,92,59,51,60,28,56,1560,0.675
P. Hincapié,19,71,82,2,75,34,60,63,71,69,1698,3.8
C. Palmer,19,66,85,4,77,63,62,70,45,55,1708,2.2
J. Cuadrado,33,83,83,2,90,75,78,87,76,72,2235,19.0
L. Shaw,25,82,84,2,78,54,78,79,80,80,2112,35.0
C. Lenglet,26,81,85,2,74,45,67,65,82,78,1894,31.5
Dani Ceballos,24,77,80,3,59,68,77,82,66,67,2012,14.5
R. Karsdorp,26,79,80,2,87,63,74,76,74,78,2100,19.0
Everton,25,80,83,4,86,75,73,85,32,61,1942,28.0
M. Thuram,23,79,85,4,82,78,70,79,48,77,1980,27.5
L. Pellegrini,25,82,86,4,78,75,83,81,72,77,2214,42.5
M. Svanberg,22,75,82,3,77,66,75,77,63,69,1939,11.5
G. Donnarumma,22,89,93,1,91,83,79,90,52,85,1377,119.5
I. Sangaré,23,79,85,3,66,65,71,72,79,84,2050,25.5
E. Eze,23,77,83,4,77,70,74,81,47,68,1946,16.5
Sergio Ramos,35,87,87,2,69,70,76,73,87,82,2231,21.0
D. Sturridge,31,76,76,4,73,78,68,76,23,59,1799,6.5
Marcelo,33,80,80,2,73,72,79,87,75,70,2150,11.0
K. Walker,31,85,85,2,92,63,77,78,80,82,2198,39.0
D. Ings,28,81,81,4,79,84,70,80,45,70,2055,26.5
R. Barkley,27,78,78,4,69,73,77,78,57,72,1996,15.0
M. Sabitzer,27,84,84,3,75,83,81,80,68,78,2222,44.5
J. Vardy,34,86,86,4,85,85,71,80,52,73,2142,33.0
J. Brandt,25,81,85,4,73,75,80,84,48,66,2017,36.0
M. Targett,25,77,80,2,74,46,72,72,73,68,1906,13.0
J. Denayer,26,79,82,2,78,43,66,71,80,80,1880,20.5
I. Bennacer,23,80,84,3,73,67,80,84,73,73,2160,27.5
A. Disasi,23,77,82,2,52,28,51,57,77,83,1559,14.5
M. Svilar,21,68,80,1,70,64,63,70,58,65,1277,2.6
J. Bijlow,23,78,86,1,81,75,77,80,58,74,1231,27.0
D. Henderson,24,80,85,1,80,79,78,83,50,76,1250,25.5
H. Aouar,23,81,85,4,75,73,79,85,65,69,2115,37.0
F. Neuhaus,24,81,85,3,64,72,79,81,66,67,2011,36.5
Cucurella,22,81,87,2,79,67,78,80,72,74,2101,38.5
Sergio Gómez,20,70,79,4,69,65,72,74,66,61,1955,3.3
S. Giménez,20,71,83,4,74,71,61,67,40,75,1772,4.5
S. Chukwueze,22,77,84,3,87,73,66,83,36,62,1867,21.5
D. Hancko,23,76,85,2,77,58,69,70,76,78,1997,15.5
E. Tapsoba,22,81,88,2,75,52,65,69,82,79,1915,48.5
P. Dwomoh,17,62,85,4,74,51,60,69,43,62,1641,1.2
Matheus Nunes,22,78,86,3,77,71,72,77,77,76,2077,31.5
B. Ocampo,22,74,83,3,83,67,71,78,47,62,1910,9.5
Blanco,20,71,83,3,60,56,67,66,62,58,1754,4.5
N. Kanté,30,90,90,3,78,66,75,82,87,83,2179,100.0
S. Benrahma,25,78,81,4,77,73,75,81,38,55,1891,18.5
F. Woodman,24,74,81,1,75,69,70,75,47,72,1158,7.0
Joelinton,24,74,78,4,76,70,62,73,43,79,1854,6.0
K. Phillips,25,81,85,3,68,65,77,75,79,82,2101,32.5
J. Gomez,24,82,88,2,81,30,66,69,83,78,1809,43.5
G. Lo Celso,25,80,84,4,75,75,83,82,68,73,2164,29.0
F. Mendy,26,83,86,2,92,64,76,79,78,84,2148,43.5
Kim Min Jae,24,75,82,2,77,32,56,61,75,79,1697,10.5
W. McKennie,22,78,82,3,82,73,73,77,77,82,2168,20.5
N. Okafor,21,72,81,3,92,71,65,74,31,74,1824,5.5
V. Mykolenko,22,76,83,2,78,44,62,61,73,63,1721,14.5
Tomás Tavares,20,73,82,2,79,47,61,74,70,71,1832,6.5
K. Furuhashi,26,75,78,3,86,76,67,77,46,66,2008,7.5
