name,age,overall,potential,position,pace,shooting,passing,dribbling,defending,physical,total_stats,value
F. Wirtz,18,80,90,CAM,72,72,79,84,51,60,1958,€44.5M
L. Netz,18,70,85,LB,77,43,61,67,66,61,1722,€3.5M
J. Gvardiol,19,77,87,CB,83,54,69,72,74,83,1990,€21M
D. Rice,22,82,87,CDM,68,60,71,74,81,80,1996,€43M
J. David,21,79,86,ST,85,78,71,78,25,70,1872,€36M
E. Camavinga,18,78,89,CM,72,65,76,80,75,77,2089,€29.5M
T. Nianzou,19,71,85,CB,69,37,55,62,71,74,1653,€4.2M
Cristiano Ronaldo,36,91,91,ST,86,94,80,88,34,75,2202,€45M
D. Zakaria,24,81,86,CDM,83,64,73,77,80,85,2047,€35.5M
Pedri,18,81,91,CAM,78,65,79,84,66,63,2023,€54M
Yeremy Pino,18,75,87,CAM,73,67,72,75,31,48,1726,€13M
T. Cantwell,23,75,82,CAM,72,68,72,78,39,51,1809,€11.5M
Lucas Paquetá,23,82,87,CAM,75,77,80,85,70,78,2205,€46M
N. Mazraoui,23,81,86,RB,84,63,75,82,75,73,2052,€36.5M
H. Elliott,18,73,87,CAM,79,62,71,78,30,41,1687,€7M
L. Digne,27,83,83,LB,79,69,80,80,78,76,2217,€35M
T. Cantwell,23,75,82,CAM,72,68,72,78,39,51,1809,€11.5M
Gabriel Martinelli,20,76,87,RM,87,69,67,78,44,67,1883,€16.5M
Gonçalo Inácio,19,78,87,CB,79,36,61,60,80,75,1758,€28.5M
M. Cash,23,78,83,RB,81,63,68,73,72,66,1971,€20M
S. Tonali,21,78,87,CM,79,67,79,77,74,78,2118,€30M
J. Koundé,22,83,89,CB,81,45,64,72,84,78,1914,€53M
D. Scarlett,17,64,86,ST,72,63,46,62,21,56,1519,€1.8M
Rodrygo,20,79,88,CAM,87,76,71,83,32,56,1928,€38.5M
N. Mukiele,23,81,85,CB,80,49,69,73,82,80,1995,€34.5M
T. Lamptey,20,74,84,RWB,87,44,66,75,67,52,1812,€9M
F. Kessié,24,84,86,CDM,78,74,74,80,82,87,2195,€49.5M
A. Bastoni,22,81,89,CB,65,33,66,69,83,80,1813,€54M
J. Doku,19,77,87,CAM,92,66,67,83,25,66,1810,€23M
F. Carvalho,18,69,86,CAM,76,61,63,72,34,47,1648,€3.5M
O. Watkins,25,78,83,ST,85,75,68,75,46,71,1961,€21M
T. Tomiyasu,22,77,85,CB,73,33,65,70,78,77,1800,€22.5M
A. Ahmedhodžić,22,73,83,CB,77,32,60,63,71,77,1709,€6.5M
X. Simons,18,66,83,CAM,68,57,66,70,57,60,1793,€2.2M
M. Dárdai,19,71,85,CB,68,32,64,62,72,70,1704,€4.2M
Renato Sanches,23,80,86,CAM,84,74,77,84,72,84,2218,€33M
B. Saka,19,80,88,LM,84,68,76,82,65,64,2049,€45.5M
A. Saint-Maximin,24,80,85,CAM,91,70,72,87,25,63,1879,€32M
K. Piątek,26,76,79,ST,75,77,53,72,36,71,1791,€10M
A. Hložek,18,77,87,ST,78,75,72,77,31,79,1922,€22.5M
L. Stergiou,19,67,86,CB,65,32,46,49,68,72,1531,€2.5M
A. Hickey,19,71,84,RWB,73,50,66,69,69,57,1800,€4.3M
P. Foden,21,84,92,CAM,84,78,80,88,56,59,2073,€94.5M
E. Smith Rowe,20,78,87,CAM,80,68,75,79,32,61,1805,€31M
R. Aït Nouri,20,74,85,LWB,74,42,65,76,71,54,1787,€9M
F. de Jong,24,87,92,CM,81,69,85,88,77,78,2229,€119.5M
Éder Militão,23,83,90,CB,85,50,70,71,83,83,2035,€67.5M
A. Onana,25,83,86,GK,82,80,86,85,61,82,1474,€37M
V. Osimhen,22,81,89,ST,89,81,65,76,40,82,1988,€58.5M
A. Ramsdale,23,78,84,GK,80,75,80,80,48,75,1340,€18M
O. Dembélé,24,83,88,LM,93,77,77,86,36,56,1990,€55M
A. Tuanzebe,23,74,81,CB,81,36,63,69,73,73,1805,€8M
R. Cherki,17,73,88,CAM,72,67,68,81,21,60,1715,€7M
R. Araujo,22,79,87,CB,79,46,58,57,80,78,1794,€37M
Morato,20,73,86,CB,67,35,51,60,72,80,1605,€7M
J. Musiala,18,77,88,CAM,76,72,70,85,31,48,1755,€22M
N. Barella,24,85,90,CAM,78,73,80,86,75,78,2248,€81M
D. Upamecano,22,82,90,CB,81,43,62,68,81,81,1846,€64M
M. Rashford,23,85,89,CAM,90,84,79,84,43,77,2144,€77.5M
A. Davies,20,83,90,LB,95,67,73,84,76,76,2145,€68M
L. Martínez,23,80,86,CDM,72,60,76,76,81,81,2107,€30M
J. Frimpong,20,75,84,RM,93,52,68,78,67,70,1938,€12M
N. Zaniolo,21,78,86,CAM,83,74,71,80,61,82,2057,€31.5M
M. Lacroix,21,79,86,CB,88,33,56,65,80,77,1743,€33M
Álex Balde,17,67,83,LWB,83,41,54,70,62,51,1591,€2.4M
E. Buendía,24,79,84,CAM,73,73,80,81,64,67,2064,€26.5M
B. Brereton Díaz,22,73,81,ST,84,71,62,74,41,74,1837,€7M
Pedro Gonçalves,23,81,88,CAM,76,80,80,84,56,64,2089,€51.5M
S. Ricci,19,70,85,CDM,72,49,69,70,68,68,1870,€3.8M
L. Messi,34,93,93,RW,85,92,91,95,34,65,2219,€78M
P. Pogba,28,87,87,CM,71,81,86,86,65,83,2221,€79.5M
K. Havertz,22,84,92,CAM,82,78,79,84,45,66,2038,€94.5M
D. Zagadou,22,78,84,CB,59,34,61,52,80,80,1632,€20.5M
M. Vandevoordt,19,70,84,GK,73,70,65,73,40,63,1062,€3.3M
G. Raspadori,21,75,85,ST,77,75,63,79,26,55,1780,€12.5M
L. Messi,34,93,93,RW,85,92,91,95,34,65,2219,€78M
S. Umtiti,27,80,80,CB,65,62,68,67,80,78,2020,€19.5M
Marcos Llorente,26,86,89,CAM,88,80,81,82,78,82,2252,€88M
E. Konsa,23,78,84,CB,78,39,62,71,79,75,1838,€20M
F. Tomori,23,81,87,CB,84,37,57,66,83,80,1817,€37M
João Félix,21,83,91,CAM,83,79,78,87,40,67,2082,€82M
A. Lunin,22,74,85,GK,71,70,73,76,37,74,1114,€8M
Y. Demir,18,72,84,RW,84,66,65,78,19,50,1698,€5.5M
Nuno Mendes,19,78,88,LWB,87,57,72,76,74,72,2042,€29M
A. Velasco,18,75,85,CAM,83,68,69,81,53,61,1942,€12M
N. Rovella,19,72,87,CM,70,49,70,74,66,65,1877,€5.5M
Gonçalo Ramos,20,72,86,ST,77,70,63,70,33,76,1822,€5.5M
L. Romero,16,66,86,LM,76,54,64,72,32,49,1649,€2.3M
19 Dani Alves,35,82,82,CAM,76,71,82,85,76,66,2205,€4.8M
M. Ødegaard,22,82,88,CAM,77,74,84,84,58,62,2094,€49M
G. Scamacca,22,76,86,ST,71,77,54,71,33,71,1769,€17M
L. Martínez,23,85,89,ST,84,81,72,85,48,84,2145,€78M
Raphinha,24,82,85,LM,91,77,75,85,49,72,2101,€41.5M
I. Sarr,23,77,85,RM,94,76,67,80,22,67,1832,€23.5M
Pau Torres,24,82,89,CB,72,38,67,70,84,80,1883,€56.5M
O. Popescu,18,70,85,CAM,82,64,65,75,34,54,1722,€3.7M
Kayky,18,66,87,LM,82,58,57,72,28,45,1567,€2.7M
G. Bale,31,81,81,ST,80,84,81,79,55,70,2162,€21.5M
L. Modrić,35,87,87,CM,73,76,89,88,72,66,2253,€32M
D. Alaba,29,85,85,CB,79,71,83,80,84,77,2266,€45M
Oyarzabal,24,85,89,LW,82,82,81,84,41,63,2062,€77.5M
T. Hernández,23,84,90,LB,93,71,76,81,77,82,2185,€62.5M
G. Reyna,18,77,87,CAM,77,71,74,82,36,71,1919,€22M
Nico Williams,18,68,81,ST,87,64,60,72,21,54,1656,€2.8M
A. Zakharyan,18,71,85,CAM,73,68,72,72,53,57,1882,€0
J. Grealish,25,84,85,CAM,80,76,83,88,46,69,2027,€50.5M
M. Maignan,25,84,89,GK,83,81,85,86,50,84,1456,€49.5M
Paulinho,20,74,83,CAM,77,68,70,80,36,61,1831,€9.5M
I. Meslier,21,77,85,GK,79,76,73,81,36,73,1215,€20.5M
C. Chukwuemeka,17,64,84,CAM,62,53,62,68,44,57,1624,€1.6M
B. Šeško,18,68,83,ST,71,67,60,67,42,73,1745,€2.8M
L. Suárez,34,88,88,ST,72,90,81,83,47,83,2298,€44.5M
T. Partey,28,84,84,CDM,69,71,82,81,80,84,2162,€37M
Diego Carlos,28,82,84,CB,77,47,63,68,81,83,1930,€30.5M
T. Abraham,23,79,86,ST,77,78,62,74,32,73,1804,€35.5M
R. James,21,82,87,RWB,80,68,80,80,78,80,2178,€43.5M
Álex Centelles,21,75,85,LB,77,51,68,71,69,74,1882,€12M
C. Jones,20,75,86,CM,69,66,71,78,63,71,1936,€12.5M
B. Gilmour,20,72,86,CM,67,54,70,73,68,55,1846,€5.5M
K. Sulemana,19,75,85,RM,93,69,66,80,28,63,1824,€12M
C. Tzolis,19,74,87,RM,86,71,66,76,35,65,1890,€10M
N. Patterson,19,66,80,RB,81,44,57,63,62,69,1705,€1.9M
D. Rensch,18,73,85,RB,80,55,64,71,70,69,1863,€7M
R. Lewandowski,32,92,92,ST,78,92,79,86,44,82,2211,€119.5M
L. Goretzka,26,88,89,CM,81,82,82,84,81,86,2321,€107M
R. Bazoer,24,77,81,CDM,72,68,77,78,74,78,2106,€13.5M
C. Tolisso,26,80,80,CM,66,77,77,78,76,77,2161,€23M
Diogo Jota,24,83,88,ST,85,81,74,85,57,77,2160,€55.5M
B. Godfrey,23,77,85,CB,82,44,61,66,76,82,1847,€22M
Diogo Costa,21,76,86,GK,74,72,68,79,32,76,1099,€14.5M
F. Valverde,22,83,89,CM,86,74,78,79,77,80,2175,€58M
D. Yearwood,21,64,74,CB,82,53,60,67,64,80,1859,€1.3M
D. Núñez,22,76,85,ST,84,75,68,73,41,83,1956,€17M
C. Palmer,19,66,85,CAM,77,63,62,70,45,55,1708,€2.2M
I. Moriba,18,73,85,CAM,72,70,64,73,64,65,1861,€7M
P. Aubameyang,32,84,84,ST,89,84,75,79,35,69,2039,€34M
A. Griezmann,30,85,85,CAM,80,84,84,87,52,72,2259,€53M
L. Sané,25,85,86,LM,90,83,80,86,38,68,2100,€64.5M
M. Mount,22,83,89,CAM,74,79,84,83,55,65,2105,€58.5M
R. Sessegnon,21,74,83,LM,82,65,70,76,68,66,1957,€9M
T. Kubo,20,75,88,CAM,81,66,68,82,39,56,1821,€13.5M
M. Aarons,21,75,83,RWB,80,42,64,75,71,71,1799,€12M
Fábio Silva,18,70,83,ST,73,70,46,72,22,63,1614,€3.7M
Francisco Conceição,18,70,86,CAM,78,61,63,76,31,44,1643,€4M
Z. Ibrahimović,39,83,83,ST,63,86,77,79,34,76,2012,€12.5M
P. Dybala,27,87,87,CF,83,86,86,90,40,60,2126,€86.5M
Gabriel Jesus,24,83,87,ST,84,81,74,87,40,74,2077,€52.5M
T. Alexander-Arnold,22,87,90,RB,78,68,88,80,80,72,2227,€102.5M
Brahim,21,78,86,CAM,78,69,76,82,30,50,1818,€31.5M
J. Sancho,21,86,90,CAM,81,76,82,90,36,64,1999,€99M
A. Hakimi,22,85,89,RB,94,73,78,82,76,79,2204,€73M
E. Nketiah,22,73,80,ST,83,71,55,74,24,60,1707,€6M
M. Simakan,21,76,85,CB,68,36,62,64,78,77,1757,€15.5M
T. Almada,20,75,86,CAM,85,72,71,82,52,63,1999,€12.5M
Arthur Cabral,23,77,85,ST,72,77,63,74,31,78,1843,€23.5M
B. Brobbey,19,73,85,ST,83,71,54,68,30,81,1760,€7.5M
K. Tierney,24,80,86,LWB,84,60,75,77,75,79,2086,€31M
C. Pulisic,22,82,88,RM,89,70,73,86,37,59,1955,€49M
L. Bailey,23,82,86,LM,93,78,74,84,33,64,2011,€43.5M
B. White,23,77,86,CB,69,27,63,69,78,76,1686,€22M
J. Willock,21,75,83,CAM,76,72,68,76,63,69,1962,€12.5M
M. Cuisance,21,73,80,CAM,69,67,78,77,53,62,1957,€6M
C. Hudson-Odoi,20,78,86,CAM,82,68,75,81,44,59,1916,€31M
O. Skipp,20,76,83,CDM,64,46,68,71,73,70,1817,€14M
J. Ferreira,20,72,83,RM,85,70,68,72,43,64,1886,€5M
A. Sambi Lokonga,21,74,83,CM,66,58,74,78,69,69,1960,€9.5M
Riqui Puig,21,75,83,CAM,67,61,74,81,58,54,1884,€12.5M
G. Bazunu,19,67,84,GK,68,66,68,69,27,65,996,€2.3M
Bryan Gil,20,77,87,LW,78,67,72,81,26,35,1715,€23M
D. Hancko,23,76,85,CB,77,58,69,70,76,78,1997,€15.5M
Renan Lodi,23,81,86,LB,84,67,76,81,75,75,2154,€36.5M
L. Delap,18,64,85,ST,76,64,47,61,24,67,1561,€1.9M
Neymar Jr,29,91,91,LW,91,83,86,94,37,63,2183,€129M
R. Lukaku,28,88,88,ST,83,87,74,78,39,83,2061,€93.5M
H. Son,28,89,89,LW,88,87,82,86,42,69,2140,€104M
L. Shaw,25,82,84,LB,78,54,78,79,80,80,2112,€35M
A. Martial,25,81,84,CAM,85,80,73,85,35,68,2000,€34.5M
S. Fofana,26,80,83,CM,76,73,73,79,73,83,2090,€27.5M
Pau López,26,80,83,GK,80,79,75,82,48,80,1347,€21M
18 E. Mammana,21,77,88,CDM,79,42,67,70,77,74,1890,€13.5M
S. Milinković-Savić,26,85,86,CM,68,79,80,81,79,86,2224,€63M
P. Schick,25,80,83,ST,70,80,70,81,35,69,1924,€28.5M
I. Sangaré,23,79,85,CDM,66,65,71,72,79,84,2050,€25.5M
M. de Ligt,21,85,90,CB,74,59,61,69,84,87,1982,€75M
C. Zesiger,23,70,79,CB,62,32,47,46,70,77,1483,€3.3M
D. Szoboszlai,20,77,87,CAM,79,78,79,79,34,64,1961,€23M
Pedro Neto,21,78,85,CAM,87,74,69,81,31,59,1842,€28.5M
S. Giménez,20,71,83,ST,74,71,61,67,40,75,1772,€4.5M
D. Kulusevski,21,80,87,CAM,83,73,76,82,56,76,2066,€43M
M. Olise,19,73,84,CAM,78,64,74,77,50,54,1887,€6.5M
I. Stoica,18,63,82,RM,87,62,55,69,27,60,1651,€1.2M
M. Damsgaard,20,77,87,CAM,85,69,72,82,48,63,1945,€23M
P. De la Vega,20,74,85,RM,86,70,69,76,50,73,1985,€9.5M
P. Dwomoh,17,62,85,CAM,74,51,60,69,43,62,1641,€1.2M
N. Collins,17,60,82,CB,85,25,39,48,59,67,1392,€725K
M. Neuer,35,90,90,GK,88,88,91,88,56,89,1534,€13.5M
T. Müller,31,87,87,CAM,67,84,83,80,56,71,2135,€66M
M. Depay,27,86,87,CF,83,84,82,86,30,79,2091,€79.5M
V. van Dijk,29,89,89,CB,78,60,71,72,91,85,2108,€86M
M. Ginter,27,84,85,CB,62,58,72,66,86,79,1961,€42.5M
Samir,26,73,75,CB,60,33,55,57,75,73,1609,€3.3M
Y. Tielemans,24,85,87,CM,63,80,86,81,72,72,2200,€69.5M
D. van de Beek,24,80,85,CAM,68,78,76,79,72,76,2141,€31.5M
Merino,25,83,87,CM,74,78,81,82,82,81,2244,€50M
Rodri,25,86,88,CDM,61,70,77,78,83,82,2105,€76.5M
Richarlison,24,82,87,ST,83,79,73,83,53,80,2127,€46.5M
É. Mendy,29,85,87,GK,84,83,80,87,35,85,1205,€44.5M
Y. En-Nesyri,24,82,86,ST,78,83,58,78,35,76,1891,€44M
D. Zeefuik,23,74,79,RB,83,40,61,69,71,80,1839,€6M
Douglas Luiz,23,77,84,CDM,67,67,74,76,74,69,1997,€20M
I. Konaté,22,79,87,CB,71,34,57,67,80,77,1713,€37M
C. Gallagher,21,77,84,CM,71,74,73,75,64,70,1977,€21.5M
Cucurella,22,81,87,LWB,79,67,78,80,72,74,2101,€38.5M
Rúben Dias,24,88,91,CB,65,38,66,68,88,89,1899,€111.5M
M. Boadu,20,76,85,ST,89,75,61,76,28,66,1836,€16.5M
R. Baku,23,80,85,RM,84,73,73,81,70,78,2113,€32M
Junior Messias,30,75,75,CAM,83,70,72,78,42,55,1870,€5.5M
M. Damsgaard,20,77,87,CAM,85,69,72,82,48,63,1945,€23M
E. Džeko,35,84,84,ST,66,84,72,78,45,76,1968,€18M
F. Kostić,28,84,84,LM,88,78,82,83,68,80,2229,€42.5M
João Cancelo,27,86,87,LB,85,72,85,85,80,72,2239,€71.5M
M. Locatelli,23,82,87,CM,63,72,79,78,79,79,2119,€42M
F. Mendy,26,83,86,LWB,92,64,76,79,78,84,2148,€43.5M
L. Jović,23,79,84,ST,75,80,68,78,29,74,1912,€27M
D. Doekhi,23,73,80,CB,55,42,57,64,73,81,1699,€5.5M
N. Lang,22,78,85,CAM,84,74,72,83,50,67,2011,€28.5M
M. Diaby,21,81,88,LM,94,69,73,85,41,53,1892,€52.5M
C. Gakpo,22,79,85,CAM,86,78,74,81,41,72,1994,€28M
J. Scally,18,70,82,RWB,79,34,61,70,65,68,1709,€3.5M
M. Kudus,20,77,85,CAM,88,71,70,82,60,75,2024,€23M
J. Lindstrøm,21,72,84,CAM,81,66,66,73,46,59,1811,€6M
Marcos Antonio,21,73,85,CAM,84,65,69,77,59,49,1839,€7.5M
Y. Musah,18,71,82,RM,88,66,62,71,57,68,1837,€4M
B. Ocampo,22,74,83,RM,83,67,71,78,47,62,1910,€9.5M
D. Dike,21,71,82,ST,69,71,46,62,21,80,1556,€4.2M
Nico González,19,70,83,CAM,71,63,68,70,66,71,1886,€3.8M
A. Karabec,17,72,85,CAM,73,65,69,75,35,54,1791,€5.5M
Mingueza,22,75,83,CB,78,35,66,64,75,75,1798,€12M
R. Lavia,17,62,85,CB,57,41,52,59,62,59,1562,€1.2M
D. Calvert-Lewin,24,81,85,ST,83,77,64,77,39,81,1961,€37.5M
M. Acuña,29,84,84,LB,76,74,82,87,79,82,2292,€37M
W. Ndidi,24,85,88,CB,67,62,68,75,87,84,2109,€66.5M
Arthur,24,82,84,CM,71,66,82,88,72,70,2147,€39.5M
D. Malen,22,79,85,RM,90,77,72,83,30,74,1982,€28.5M
C. Romero,23,82,87,CB,74,46,52,61,83,84,1837,€41.5M
D. Henderson,24,80,85,GK,80,79,78,83,50,76,1250,€25.5M
Pedro Porro,21,80,87,RWB,80,68,73,79,75,76,2082,€40.5M
Emerson,22,79,84,RWB,81,62,71,74,74,77,2034,€25M
A. Bella Kotchap,19,70,83,CB,76,25,50,47,71,74,1521,€3.5M
W. Fofana,20,78,86,CB,74,37,55,64,80,78,1770,€29M
M. Cho,17,67,83,ST,79,67,55,71,25,50,1541,€2.6M
T. Corbeanu,19,64,81,LM,77,56,61,68,37,62,1656,€1.5M
A. Sima,20,73,86,ST,88,74,63,69,41,73,1888,€7.5M
A. Schjelderup,17,65,83,CAM,72,59,60,68,35,47,1652,€1.8M
Jutglà,22,63,74,CAM,73,58,55,69,26,49,1536,€1.1M
K. Benzema,33,90,90,CF,78,87,82,87,39,77,2127,€76.5M
M. Balotelli,30,76,76,ST,73,80,72,76,25,77,1852,€7.5M
M. Reus,32,85,85,CAM,73,84,84,85,47,63,2129,€43M
B. Mendy,26,79,80,LB,74,54,76,76,75,76,2003,€19M
M. Salah,29,90,90,RW,90,88,81,90,45,75,2217,€117.5M
F. Bernardeschi,27,79,79,LM,79,71,80,83,62,66,2098,€18.5M
J. Kimmich,26,89,90,CDM,70,73,87,84,83,79,2287,€108M
T. Chalobah,21,76,82,CB,65,47,65,68,76,77,1796,€11M
D. James,23,77,82,RM,95,70,69,75,46,64,1923,€16M
J. Ikoné,23,78,82,CAM,89,70,73,82,35,60,1900,€20M
H. Aouar,23,81,85,CAM,75,73,79,85,65,69,2115,€37M
A. Gouiri,21,79,85,ST,79,81,76,79,45,70,2031,€28.5M
M. Pedersen,21,72,84,RWB,90,48,68,70,63,69,1848,€5.5M
E. Tapsoba,22,81,88,CB,75,52,65,69,82,79,1915,€48.5M
C. Cowell,17,66,82,RM,84,62,57,69,34,75,1689,€2.1M
Samuel Lino,21,69,77,CAM,74,67,64,75,30,60,1750,€3.2M
H. Siquet,18,70,84,RM,75,56,72,67,63,67,1898,€3.5M
A. Young,35,77,77,LB,72,66,74,77,73,68,2094,€3.2M
M. Özil,32,79,79,CAM,62,68,85,79,24,48,1797,€14M
E. Cavani,34,84,84,ST,66,85,70,76,51,78,2083,€20.5M
M. Antonio,31,80,80,ST,83,77,73,78,55,84,2123,€18M
L. Insigne,30,86,86,LW,87,78,85,90,36,45,2029,€65.5M
J. Rodríguez,29,81,81,CAM,53,86,86,86,50,60,2091,€25.5M
R. Sterling,26,87,87,LW,91,79,79,87,45,67,2104,€87M
S. Haller,27,82,83,ST,67,80,62,74,51,81,1943,€35.5M
S. Gnabry,25,86,87,RM,83,84,80,86,43,70,2085,€81M
K. Coman,25,85,86,LM,93,76,78,87,30,60,1972,€64.5M
Rúben Neves,24,82,87,CM,58,74,85,77,75,73,2164,€46M
J. Gomez,24,82,88,CB,81,30,66,69,83,78,1809,€43.5M
M. Svanberg,22,75,82,CM,77,66,75,77,63,69,1939,€11.5M
Carlos Soler,24,81,88,CAM,78,77,82,79,71,72,2169,€51.5M
A. Danjuma,24,77,82,CAM,84,75,70,79,42,67,1900,€16M
M. Guendouzi,22,79,85,CM,76,67,78,77,74,80,2111,€28M
R. Kolo Muani,22,74,83,ST,82,69,60,77,31,61,1747,€9.5M
Miranda,21,76,84,LB,78,58,68,74,72,66,1925,€16M
M. Salisu,22,77,85,CB,67,36,51,55,78,79,1634,€22M
Eric García,20,77,85,CB,65,44,66,67,78,71,1800,€21.5M
M. Caqueret,21,78,85,CM,73,58,72,81,72,69,1970,€27M
F. Balogun,19,65,82,ST,76,64,50,64,21,61,1545,€1.9M
A. Diallo,18,68,85,CAM,81,63,57,74,25,43,1627,€3.1M
K. de la Fuente,19,73,82,CAM,84,67,70,74,19,49,1678,€6.5M
J. Che,17,65,82,RB,70,26,53,62,61,68,1527,€1.7M
S. Shoretire,17,62,84,CAM,72,56,56,66,37,55,1571,€1.2M
C. Eriksen,29,82,82,CM,62,78,88,81,53,52,2009,€29.5M
Isco,29,82,82,CAM,66,75,80,88,59,59,2060,€30M
A. Mawson,27,70,72,CB,54,40,49,57,71,70,1541,€1.7M
L. Baker,26,70,74,CM,67,67,71,71,64,70,1971,€2M
A. Christensen,25,82,86,CB,68,32,66,70,84,74,1775,€38M
N. Kanté,30,90,90,CDM,78,66,75,82,87,83,2179,€100M
G. Kobel,23,81,87,GK,81,80,74,85,28,78,1178,€33M
M. Edwards,22,76,83,CAM,85,66,68,84,33,46,1800,€15M
T. Souček,26,82,85,CDM,64,72,74,74,82,85,2110,€36M
Matheus Cunha,22,79,85,RM,85,78,73,84,31,72,1988,€28M
H. Traorè,21,73,86,CAM,73,70,71,77,59,63,1968,€7.5M
N. Williams,20,68,82,RWB,74,36,61,68,63,59,1671,€2.8M
N. Schlotterbeck,21,76,84,CB,69,29,57,59,77,76,1655,€15.5M
S. Esposito,18,68,85,CAM,71,67,67,73,38,59,1795,€3.1M
Nuno Tavares,21,72,82,LWB,85,52,64,73,64,74,1886,€5M
F. Pellistri,19,70,86,RM,79,63,65,74,27,61,1732,€4.1M
A. Onana,19,70,83,CDM,71,53,65,67,66,75,1787,€3.6M
M. Arnautović,32,81,81,ST,79,81,79,78,44,82,2113,€21M
Thiago,30,86,86,CM,63,72,86,90,70,66,2199,€65M
C. Eriksen,29,82,82,CM,62,78,88,81,53,52,2009,€29.5M
M. Antonio,31,80,80,ST,83,77,73,78,55,84,2123,€18M
20 L. Baines,34,75,75,LB,56,67,77,73,76,59,2059,€2.3M
A. Sánchez,32,79,79,CAM,77,76,78,83,43,67,2057,€14M
Oscar,29,82,82,CAM,78,79,82,82,59,67,2149,€30M
J. Cuadrado,33,83,83,RB,90,75,78,87,76,72,2235,€19M
L. Spinazzola,28,83,83,LB,92,64,73,80,78,71,2110,€33M
M. Sabitzer,27,84,84,CM,75,83,81,80,68,78,2222,€44.5M
Marquinhos,27,88,91,CB,81,56,75,74,89,81,2089,€103.5M
T. Werner,25,84,87,ST,91,81,70,82,35,70,2012,€56.5M
Á. Correa,26,83,86,CAM,85,83,78,87,49,74,2127,€48M
A. Robertson,27,87,88,LB,84,61,81,81,82,76,2163,€83.5M
K. Laimer,24,81,85,RWB,81,68,77,78,80,77,2136,€33.5M
C. Nkunku,23,83,87,CAM,83,78,82,86,69,65,2168,€52M
